î‘çÜ B1 B2   P1     P2
1	0	1	450 	340 
2	0	1	450 	280 
3	0	1	450 	370 
4	0	1	323 	280 
5	1	0	220 	350 
6	0	1	423 	299 
7	0	1	396 	299 
8	1	0	460 	410 
9	1	0	390 	309 
10	0	1	436 	309 
11	0	1	420 	309 
12	1	0	120 	430 
13	1	0	309 	309 
14	1	0	299 	410 
15	0	1	430 	280 
16	0	1	426 	309 
17	0	1	436 	309 
18	0	1	450 	340 
19	0	1	456 	250 
20	0	1	456 	340 
21	0	1	420 	340 
22	0	1	446 	370 
23	0	1	433 	370 
24	0	1	413 	280 
25	0	1	466 	370 
26	1	0	309 	370 
27	1	0	359 	370 
28	0	1	473 	370 
29	1	0	309 	370 
30	1	0	309 	370 
31	1	0	270 	280 
32	1	0	210 	280 
33	1	0	419 	280 
34	1	0	179 	419 
35	1	0	309 	309 
36	0	1	423 	299 
37	1	0	320 	340 
38	1	0	179 	309 
39	1	0	469 	309 
40	1	0	309 	309 
